company,job_type,salary
"风云科技,京北方,文思海辉,杭州天众,纬创,吉庆和,联龙博通,亿达信息,德科,安徽芯联,云沃客,云族佳,联泰系统,齐锐信息,娱人科技,风先生,拓源网络,北京云族佳科技,微点,瑞友科技,蚂蚁金服,蓝集科技,泛亚科技,柯莱特,微医集团,晖鸿科技,挖财,京北方信息,亿达信息",Java,11.76
"上海天玑,杭州畅启科技有限公司,海康威视,杭州海康威视,杭州视在,微策略,钧信保安,杭州妞诺科技,芯耘光电,杭州联启,颐高智慧,新蓝传媒,浙江宇视科技,宣景科技,顺丰速运,顺网科技,阳光雨露,塑青春科技祛痘,品术物联,爱迪科森,亿阳信通,蚂蚁金服,利珀,杭州甘其食,钜舜管道,浙江雅购,浙江众盟,亿咖通,酷家乐,顺网科技",系统工程师,11.18
"通号万全,恒生聚源,浙江大华,ABC360,点我达,浙江众盟,格爱网络,烈火科技,亿咖通,博彦科技,海仓科技,亚厦装饰股份有限公司,大袜网,杭州联启,浙江天健远见,网鼎科技,杰辉通讯,杭州明霖,仁聚汇通,天玑科技,浙江华为,杭州红星美凯龙,国意,中均资产,浙江佳舜,朗通,网鼎科技,浙江华为,亿咖通,上海博登信息",网络工程师,9.85
"柯莱特,软通动力,海颐,安恒信息,伯仲,华东医药,九爱科技,阿里巴巴集团,安司密信,知衣科技,亿咖通,上海天玑,网信集团,杭州金通科技,浙江宇视科技,天玑科技,阿里巴巴集团,伯仲,杭州高节,度言软件,滴滴出行,微贷网,卖好车,亿阳信通,接力棒,孚嘉科技,京圆柚理财,麟云科技,大搜车,大河云联",运维开发工程师,16.10
"腾盛,瑞硕网络科技,捷信安保,游丸网络,creams,网易游戏,控客科技,相芯科技,溥博泰道,百得思维,维尔科技	,移动互联网和企业服务,杭州启冠,钧信保安,开元物业,慧博云通,三花微通道,溥博泰道,杭州曼伟,杭州星吼网络科技,车空间,浙江贯通,人人爱家金融,新视窗,杭州软通动力,杭州易和,杭州数澜科技有限公司,南都能源互联网,江南布衣,奥点科技",运维工程师,9.82
"京北方,汉克时代,杭州软通动力,圣淘电商,紫光云数,纬创,高达软件,杭州齐圣科技有限公司,誉道科技,有数金服,班凯信息,新华三技术有限公司,杭州软通动力,优姆科技,杭州软通动力,微丝里科技,杭州软通动力,华三通信,博彦科技,鲁尔物联,杭州巨峰科技,信雅达软件,卡俄斯星科技,优姆科技,金灵网络科技有限公司,网新恒天软件,魔数科技,汉克时代,云动,中软国际",软件测试,8.95
"杭州软通动力,超钜科技,绝策科技,百e国际,尚灵信息,易思维,杭州妞诺科技,杭州浅海科技,杭州软通动力,智慧科技,华为,杭州立方控股,目博科技,立方控股,圣博,莱普晟医疗,阿里云,杭州易光,研本科技,企鹅科技,华为,加速云,泊享网络,好好开车,KAT,圣博,杭州好好开车,德施曼,欢乐飞机器人",硬件测试,8.83
"触手TV,亿城电子,手中游棋牌,网易游戏,冠赢网络科技,鹰泊品牌管理,旗力游戏,锦鲤网络,灵旭,薪火网络,拓米科技,上海网新新思,万材科技,游卡桌游,开启网络,每日给力,旗力游戏,酷多网络科技,岚森,卡卡互娱,捕鱼来了网络,奇葩游戏,网易游戏,北京创世漫道,kaka,无端科技,漫道科技,开启网络,边锋,奇葩游戏",游戏测试,8.55
"金诚,替替车服,萤石网络,阿凡达,阿里巴巴集团,中软国际,壹点灵,杭州铭师堂,替替车服,直路网络,微医集团,齐车大圣,享贞,阿里巴巴集团,莱准智能科技,浙江东驰科技,阿凡达,东家,阿里巴巴集团,点点客,茵文创,杭州木奇,保险师,顺带网络科技有限公司,保融,巴卡斯科技,in,上海睿民科技,本智,讯酷科技",移动端测试,13.20
"汉克时代,柯莱特,天猫,蚂蚁金服,鲜生友请,rokid,云信众成,支付宝,阿里巴巴集团,点木,有赞,alibaba,rokid,木瓜科技,蚂蚁金服,网易金融,阿里巴巴集团,微店,阿里巴巴集团,有赞,阿里巴巴集团,东家,支付宝口碑,有赞,米橙科技,腾盛,瑞友科技,滴滴出行,蚂蚁金服,蚂蚁金服",测试开发,20.23
